Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:10,07:35,13:16,16:29,19:03,20:19
2,06:09,07:34,13:15,16:30,19:03,20:20
3,06:07,07:32,13:15,16:31,19:04,20:21
4,06:06,07:31,13:15,16:31,19:05,20:22
5,06:05,07:29,13:15,16:32,19:06,20:22
6,06:03,07:28,13:14,16:32,19:07,20:23
7,06:02,07:27,13:14,16:33,19:07,20:24
8,06:00,07:25,13:14,16:33,19:08,20:25
9,05:59,07:24,13:14,16:34,19:09,20:26
10,05:57,07:22,13:13,16:34,19:10,20:27
11,05:56,07:21,13:13,16:35,19:11,20:28
12,05:54,07:19,13:13,16:35,19:12,20:29
13,05:53,07:18,13:13,16:36,19:13,20:30
14,05:51,07:17,13:12,16:36,19:14,20:31
15,05:50,07:15,13:12,16:37,19:15,20:32
16,05:48,07:14,13:12,16:37,19:16,20:33
17,05:47,07:12,13:12,16:37,19:17,20:34
18,05:45,07:11,13:11,16:38,19:17,20:35
19,05:44,07:09,13:11,16:38,19:18,20:36
20,05:42,07:08,13:11,16:39,19:19,20:37
21,05:41,07:06,13:10,16:39,19:20,20:38
22,05:39,07:05,13:10,16:39,19:21,20:39
23,05:37,07:03,13:10,16:40,19:22,20:40
24,05:36,07:02,13:09,16:40,19:23,20:41
25,05:34,07:00,13:09,16:40,19:24,20:42
26,05:33,06:59,13:09,16:41,19:24,20:43
27,05:31,06:57,13:09,16:41,19:25,20:44
28,05:29,06:56,13:08,16:41,19:26,20:45
29,05:30,06:55,13:08,16:40,19:26,20:45
30,05:28,06:54,13:08,16:41,19:27,20:46
31,05:27,06:52,13:07,16:41,19:28,20:47
