Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,07:22,08:44,12:59,14:47,17:09,18:47
2,07:22,08:44,13:00,14:48,17:10,18:48
3,07:22,08:44,13:00,14:49,17:11,18:49
4,07:22,08:44,13:00,14:50,17:12,18:50
5,07:22,08:44,13:01,14:50,17:13,18:51
6,07:22,08:44,13:01,14:51,17:15,18:52
7,07:22,08:43,13:02,14:53,17:16,18:53
8,07:21,08:43,13:02,14:54,17:17,18:54
9,07:21,08:43,13:03,14:55,17:18,18:55
10,07:21,08:42,13:03,14:56,17:19,18:56
11,07:21,08:42,13:03,14:57,17:21,18:58
12,07:20,08:41,13:04,14:58,17:22,18:59
13,07:20,08:41,13:04,14:59,17:23,19:00
14,07:19,08:40,13:05,15:00,17:25,19:01
15,07:19,08:39,13:05,15:02,17:26,19:02
16,07:18,08:39,13:05,15:03,17:28,19:03
17,07:18,08:38,13:06,15:04,17:29,19:05
18,07:17,08:37,13:06,15:05,17:31,19:06
19,07:17,08:36,13:06,15:06,17:32,19:07
20,07:16,08:35,13:07,15:08,17:34,19:08
21,07:15,08:34,13:07,15:09,17:35,19:10
22,07:14,08:33,13:07,15:10,17:37,19:11
23,07:14,08:32,13:07,15:12,17:38,19:12
24,07:13,08:31,13:08,15:13,17:40,19:14
25,07:12,08:30,13:08,15:14,17:41,19:15
26,07:11,08:29,13:08,15:15,17:43,19:16
27,07:10,08:28,13:08,15:17,17:45,19:18
28,07:09,08:27,13:09,15:18,17:46,19:19
29,07:08,08:25,13:09,15:19,17:48,19:21
30,07:07,08:24,13:09,15:21,17:49,19:22
31,07:06,08:23,13:09,15:22,17:51,19:23
