Day,Sobh,Chourouk,Dohr,Asr,Maghrib,Icha
1,06:40,07:50,13:45,16:50,19:32,21:12
2,06:41,07:52,13:45,16:48,19:30,21:10
3,06:43,07:53,13:45,16:47,19:28,21:08
4,06:44,07:55,13:44,16:45,19:26,21:06
5,06:46,07:56,13:44,16:44,19:24,21:04
6,06:47,07:58,13:44,16:42,19:22,21:02
7,06:49,07:59,13:43,16:40,19:20,21:00
8,06:50,08:01,13:43,16:39,19:18,20:58
9,06:52,08:02,13:43,16:37,19:16,20:56
10,06:53,08:04,13:43,16:36,19:14,20:54
11,06:54,08:05,13:42,16:34,19:12,20:52
12,06:56,08:07,13:42,16:33,19:10,20:50
13,06:57,08:08,13:42,16:31,19:08,20:48
14,06:59,08:10,13:42,16:30,19:06,20:46
15,07:00,08:11,13:41,16:28,19:04,20:44
16,07:02,08:13,13:41,16:27,19:02,20:42
17,07:03,08:14,13:41,16:25,19:00,20:40
18,07:05,08:16,13:41,16:24,18:58,20:38
19,07:06,08:17,13:41,16:22,18:56,20:36
20,07:08,08:19,13:40,16:21,18:54,20:34
21,07:09,08:20,13:40,16:19,18:52,20:32
22,07:10,08:22,13:40,16:18,18:50,20:30
23,07:12,08:23,13:40,16:16,18:49,20:29
24,07:13,08:25,13:40,16:15,18:47,20:27
25,07:15,08:27,13:40,16:13,18:45,20:25
26,07:16,08:28,13:40,16:12,18:43,20:23
27,07:18,08:30,13:40,16:11,18:41,20:21
28,07:19,08:31,13:39,16:09,18:40,20:20
29,07:21,08:33,13:39,16:08,18:38,20:18
30,07:22,08:34,13:39,16:06,18:36,20:16
31,07:23,08:36,13:39,16:05,18:35,20:15
