Day,Sobh,Chourouk,Dohr,Asr,Maghrib,Icha
01,03:36,05:51,13:55,18:11,22:01,23:48
02,03:37,05:52,13:55,18:11,22:01,23:48
03,03:38,05:53,13:56,18:11,22:00,23:48
04,03:40,05:53,13:56,18:11,22:00,23:48
05,03:41,05:54,13:56,18:11,22:00,23:48
06,03:42,05:55,13:50,18:11,21:59,23:47
07,03:44,05:56,13:50,18:11,21:59,23:47
08,03:45,05:57,13:50,18:11,21:58,23:47
09,03:47,05:58,13:57,18:11,21:57,23:47
10,03:48,05:58,13:57,18:11,21:57,23:46
11,03:50,05:59,13:57,18:11,21:56,23:46
12,03:51,06:00,13:57,18:10,21:55,23:46
13,03:53,06:01,13:57,18:10,21:55,23:45
14,03:55,06:02,13:57,18:10,21:54,23:45
15,03:56,06:03,13:57,18:10,21:53,23:45
16,03:58,06:04,13:57,18:10,21:52,23:44
17,04:00,06:06,13:58,18:09,21:51,23:44
18,04:02,06:07,13:58,18:09,21:50,23:43
19,04:04,06:08,13:58,18:09,21:49,23:43
20,04:06,06:09,13:58,18:09,21:48,23:42
21,04:08,06:10,13:58,18:08,21:47,23:42
22,04:10,06:11,13:58,18:08,21:46,23:41
23,04:11,06:13,13:58,18:07,21:45,23:40
24,04:13,06:14,13:58,18:07,21:44,23:40
25,04:15,06:15,13:58,18:07,21:42,23:39
26,04:17,06:16,13:58,18:06,21:41,23:38
27,04:19,06:18,13:58,18:06,21:40,23:36
28,04:21,06:19,13:58,18:05,21:38,23:34
29,04:23,06:20,13:58,18:05,21:37,23:31
30,04:25,06:22,13:58,18:04,21:36,23:28
31,04:27,06:23,13:58,18:04,21:34,23:25
