Day,Sobh,Chourouk,Dohr,Asr,Maghrib,Icha
1,05:50,07:28,13:56,17:28,20:24,21:48
2,05:48,07:26,13:55,17:29,20:26,21:49
3,05:46,07:24,13:55,17:30,20:27,21:51
4,05:44,07:22,13:55,17:30,20:29,21:52
5,05:42,07:20,13:54,17:31,20:30,21:54
6,05:39,07:18,13:54,17:32,20:32,21:55
7,05:37,07:16,13:54,17:33,20:33,21:57
8,05:35,07:14,13:54,17:33,20:35,21:59
9,05:33,07:12,13:53,17:34,20:36,22:00
10,05:30,07:10,13:53,17:35,20:38,22:02
11,05:28,07:08,13:53,17:35,20:39,22:03
12,05:26,07:06,13:52,17:36,20:41,22:05
13,05:24,07:04,13:52,17:37,20:42,22:07
14,05:22,07:02,13:52,17:37,20:44,22:08
15,05:19,07:00,13:52,17:38,20:45,22:10
16,05:17,06:58,13:51,17:39,20:47,22:12
17,05:15,06:56,13:51,17:39,20:48,22:13
18,05:13,06:54,13:51,17:40,20:50,22:15
19,05:10,06:52,13:51,17:41,20:51,22:17
20,05:08,06:50,13:51,17:41,20:53,22:18
21,05:06,06:48,13:50,17:42,20:54,22:20
22,05:04,06:46,13:50,17:42,20:55,22:22
23,05:01,06:44,13:50,17:43,20:57,22:24
24,04:59,06:42,13:50,17:44,20:58,22:25
25,04:57,06:41,13:50,17:44,21:00,22:27
26,04:55,06:39,13:49,17:45,21:01,22:29
27,04:52,06:37,13:49,17:45,21:03,22:31
28,04:50,06:35,13:49,17:46,21:04,22:32
29,04:48,06:34,13:49,17:47,21:06,22:34
30,04:46,06:32,13:49,17:47,21:07,22:36
