Day,Sobh,Chourouk,Dohr,Asr,Maghrib,Icha
01,04:53,06:24,14:02,18:03,21:32,23:02
02,04:55,06:26,14:02,18:02,21:30,23:00
03,04:57,06:27,14:02,18:01,21:29,22:59
04,04:59,06:28,14:02,18:01,21:27,22:57
05,05:01,06:30,14:02,18:00,21:26,22:56
06,05:03,06:31,14:01,17:59,21:24,22:54
07,05:05,06:32,14:01,17:58,21:22,22:52
08,05:07,06:34,14:01,17:58,21:21,22:51
09,05:09,06:35,14:01,17:57,21:19,22:49
10,05:10,06:37,14:01,17:56,21:17,22:47
11,05:12,06:38,14:01,17:55,21:16,22:46
12,05:14,06:39,14:01,17:54,21:14,22:44
13,05:16,06:41,14:00,17:53,21:12,22:42
14,05:18,06:42,14:00,17:53,21:10,22:40
15,05:20,06:44,14:00,17:52,21:08,22:38
16,05:22,06:45,14:00,17:51,21:07,22:37
17,05:23,06:46,14:00,17:50,21:05,22:35
18,05:25,06:48,13:59,17:49,21:03,22:33
19,05:27,06:49,13:59,17:48,21:01,22:31
20,05:29,06:51,13:59,17:47,20:59,22:29
21,05:31,06:52,13:59,17:46,20:57,22:27
22,05:33,06:54,13:58,17:45,20:55,22:25
23,05:34,06:55,13:58,17:43,20:53,22:23
24,05:36,06:56,13:58,17:42,20:51,22:21
25,05:38,06:58,13:58,17:41,20:49,22:19
26,05:40,06:59,13:57,17:40,20:47,22:17
27,05:41,07:01,13:57,17:39,20:45,22:15
28,05:43,07:02,13:57,17:38,20:43,22:13
29,05:45,07:03,13:56,17:36,20:41,22:11
30,05:47,07:05,13:56,17:35,20:39,22:09
31,05:48,07:06,13:56,17:34,20:37,22:07
