Day,Sobh,Chourouk,Dohr,Asr,Maghrib,Icha
01,06:00,07:26,12:47,15:46,18:12,19:30
02,06:00,07:27,12:47,15:45,18:11,19:30
03,06:01,07:28,12:47,15:44,18:10,19:29
04,06:02,07:29,12:47,15:44,18:09,19:28
05,06:03,07:30,12:47,15:43,18:08,19:27
06,06:04,07:31,12:47,15:42,18:07,19:26
07,06:05,07:32,12:47,15:41,18:06,19:25
08,06:06,07:33,12:47,15:41,18:05,19:25
09,06:07,07:34,12:47,15:40,18:04,19:24
10,06:08,07:35,12:47,15:39,18:04,19:23
11,06:09,07:36,12:47,15:39,18:03,19:23
12,06:09,07:38,12:47,15:38,18:02,19:22
13,06:10,07:39,12:48,15:38,18:01,19:21
14,06:11,07:40,12:48,15:37,18:01,19:21
15,06:12,08:41,12:48,15:36,18:00,19:20
16,06:13,08:42,12:48,15:36,17:59,19:20
17,06:14,08:43,12:48,15:35,17:59,19:19
18,06:15,08:44,12:49,15:35,17:58,19:19
19,06:16,08:45,12:49,15:35,17:57,19:18
20,06:16,08:46,12:49,15:34,17:57,19:18
21,06:17,08:47,12:49,15:34,17:56,19:18
22,06:18,08:48,12:50,15:33,17:56,19:17
23,06:19,08:49,12:50,15:33,17:55,19:17
24,06:20,08:50,12:50,15:33,17:55,19:17
25,06:21,08:51,12:50,15:33,17:55,19:17
26,06:22,08:52,12:51,15:32,17:54,19:16
27,06:23,08:53,12:51,15:32,17:54,19:16
28,06:23,08:54,12:51,15:32,17:54,19:16
29,06:24,08:55,12:52,15:32,17:54,19:16
30,06:25,08:56,12:52,15:32,17:53,19:16
