Day,Sobh,Chourouk,Dhor,Asr,Maghrib,Icha
01,07:05,08:22,13:09,15:23,17:53,19:25
02,07:03,08:20,13:09,15:25,17:54,19:26
03,07:02,08:19,13:09,15:26,17:56,19:28
04,07:01,08:17,13:10,15:27,17:58,19:29
05,07:00,08:16,13:10,15:29,17:59,19:31
06,06:58,08:14,13:10,15:30,18:01,19:32
07,06:57,08:13,13:10,15:31,18:03,19:33
08,06:56,08:11,13:10,15:33,18:04,19:35
09,06:54,08:10,13:10,15:34,18:06,19:36
10,06:53,08:08,13:10,15:35,18:07,19:38
11,06:51,08:06,13:10,15:37,18:09,19:39
12,06:50,08:05,13:10,15:38,18:11,19:41
13,06:48,08:03,13:10,15:39,18:12,19:42
14,06:47,08:01,13:10,15:41,18:14,19:44
15,06:45,08:00,13:10,15:42,18:16,19:45
16,06:44,07:58,13:10,15:43,18:17,19:47
17,06:42,07:56,13:10,15:44,18:19,19:48
18,06:40,07:54,13:10,15:46,18:21,19:50
19,06:39,07:53,13:10,15:47,18:22,19:51
20,06:37,07:51,13:09,15:48,18:24,19:52
21,06:35,07:49,13:09,15:49,18:26,19:54
22,06:33,07:47,13:09,15:50,18:27,19:55
23,06:32,07:45,13:09,15:52,18:29,19:56
24,06:30,07:43,13:09,15:53,18:30,19:58
25,06:28,07:41,13:09,15:54,18:32,19:59
26,06:26,07:39,13:09,15:55,18:34,20:00
27,06:24,07:38,13:08,15:56,18:35,20:02
28,06:22,07:36,13:08,15:57,18:37,20:03
29,06:21,07:35,13:08,15:58,18:38,20:04
