Day,Sobh,Chourouk,Dhor,Asr,Maghrib,Icha 
01,04:04,05:51,13:59,18:11,22:03,23:47
02,04:05,05:52,14:00,18:11,22:03,23:47
03,04:06,05:52,14:00,18:11,22:02,23:46
04,04:07,05:53,14:00,18:11,22:02,23:45
05,04:08,05:54,14:00,18:11,22:01,23:44
06,04:09,05:54,14:00,18:11,22:01,23:44
07,04:10,05:55,14:01,18:11,22:00,23:43
08,04:12,05:56,14:01,18:11,22:00,23:42
09,04:13,05:57,14:01,18:11,21:59,23:41
10,04:14,05:58,14:01,18:11,21:59,23:40
11,04:16,05:59,14:01,18:11,21:58,23:39
12,04:17,06:00,14:01,18:11,21:57,23:37
13,04:19,06:01,14:01,18:11,21:57,23:36
14,04:20,06:02,14:02,18:10,21:56,23:35
15,04:22,06:03,14:02,18:10,21:55,23:34
16,04:23,06:04,14:02,18:10,21:54,23:32
17,04:25,06:05,14:02,18:10,21:53,23:31
18,04:27,06:06,14:02,18:09,21:52,23:29
19,04:28,06:07,14:02,18:09,21:51,23:28
20,04:30,06:08,14:02,18:09,21:50,23:26
21,04:32,06:09,14:02,18:09,21:49,23:25
22,04:34,06:11,14:02,18:08,21:48,23:23
23,04:35,06:12,14:02,18:08,21:47,23:21
24,04:37,06:13,14:02,18:07,21:46,23:20
25,04:39,06:14,14:02,18:07,21:44,23:18
26,04:41,06:16,14:02,18:07,21:43,23:16
27,04:43,06:17,14:02,18:06,21:42,23:15
28,04:45,06:18,14:02,18:06,21:41,23:13
29,04:46,06:19,14:02,18:05,21:39,23:11
30,04:48,06:21,14:02,18:05,21:38,23:09
31,04:50,06:22,14:02,18:04,21:36,23:07
